Project_Code,Skill,Emp_ID_Count,Date
047B,.Net,1,8/24/2020
008A,Datastage,2,8/24/2020
008A,Manual Testing,1,8/24/2020
008A,Netezza,1,8/24/2020
05A,.Net,1,8/24/2020
05A,AWS,1,8/24/2020
05A,Database Technologies,1,8/24/2020
05A,Database Testing,4,8/24/2020
05A,DataModeler,1,8/24/2020
05A,Datastage,1,8/24/2020
05A,Business Analyst,1,8/24/2020
05A,Java,1,8/24/2020
05A,JS_HTML_CSS_Java,2,8/24/2020
05A,Manual Testing,4,8/24/2020
05A,Salesforce Cloud,1,8/24/2020
05A,Security Testing,1,8/24/2020
05A,SSIS,3,8/24/2020
05A,Tableau,1,8/24/2020
01B,PS-Java,1,8/24/2020
001A,Mirth,1,8/24/2020
001B,HL7,1,8/24/2020
001B,Sales,1,8/24/2020
01A,Database Technologies,1,8/24/2020
01A,Datastage,2,8/24/2020
01A,Business Analyst,1,8/24/2020
01A,Manual Testing,1,8/24/2020
01A,SSIS,1,8/24/2020
01B,Others,1,8/24/2020
01C,Business Analyst,1,8/24/2020
02A,.Net,4,8/24/2020
02A,Java,1,8/24/2020
02A,Manual Testing,1,8/24/2020
02A,Performance Testing,1,8/24/2020
02A,Salesforce Cloud,1,8/24/2020
02A,UX,2,8/24/2020
02B,.Net,1,8/24/2020
02B,Business Analyst,1,8/24/2020
02C,.Net,1,8/24/2020
03B,Azure,1,8/24/2020
001,.Net,7,8/24/2020
001,Manual Testing,1,8/24/2020
001,Sales,1,8/24/2020
001,.Net,4,8/24/2020
001,Manual Testing,2,8/24/2020
001,Technical Management,1,8/24/2020
002,.Net,1,8/24/2020
002,SQL Server DBA,1,8/24/2020
01A,.Net,20,8/24/2020
01A,Automation Testing,2,8/24/2020
01A,AWS,1,8/24/2020
01A,Database Testing,1,8/24/2020
01A,Business Analyst,1,8/24/2020
01A,Java,2,8/24/2020
01A,JS_HTML_CSS_.Net,9,8/24/2020
01A,Manual Testing,22,8/24/2020
01A,Mirth,1,8/24/2020
01A,Sales,1,8/24/2020
01A,Selenium,2,8/24/2020
01A,Selenium .NET,6,8/24/2020
01A,Selenium Java,3,8/24/2020
01B,Automation Testing,1,8/24/2020
01B,Manual Testing,3,8/24/2020
01C,Manual Testing,3,8/24/2020
01D,Technical Management,1,8/24/2020
02A,.Net,3,8/24/2020
02A,Automation Testing,1,8/24/2020
02A,JS_HTML_CSS_.Net,5,8/24/2020
02A,Selenium .NET,2,8/24/2020
02A,Selenium Java,1,8/24/2020
03A,Sales,1,8/24/2020
03A,Selenium .NET,1,8/24/2020
